Description,ASIN,Product Description,Manufacturer
"SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, rain cover in the side pocket",B08X2JSJ6N,48 x 32 x 24 cm; 570 Grams,"? POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com"
"30% Extra Storage We Indians tend to carry a lot of stuff in our backpacks. Blufin Backpacks comes with spacious compartments. Maximized Comfort with Padded, Breathable Back System Its adjustable shoulder straps with padded air mesh and back padding ensure long-lasting comfort while carrying this backpack. Durable Its high-quality fabric and seam strength ensure that this backpack lasts long, even if you use it all day, everyday. Lightweight Eco-friendly Fabric Designed with an eco-friendly, virgin polyester fabric, this bag is lightweight and easy to carry. Water- and Stain-resistant Take this backpack with you everywhere you go, to office or to a trek, without worrying about damage as it’s stain-resistant and fluid-resistant.",B09TRY5BHL, 33.02 x 22.86 x 45.72 cm; 400 Grams," ? bluecraft in telangana hyderabad, bluecraft in telangana hyderabad"
"Meet seek! One of its kind of an overnighter backpack. It has a unique luggage like opening or we can also call it book opening. It is expandable up to 5 cm as well. Made out of polyester, it has got a very elegant look. On the inside cross packing straps are provided to help you pack well. Also there is a convey pack available like the one available in luggage's. It has a 17"" laptop compatible section and also a tablet section. It has a capacity of 28-30 liters hence it is provided with load stabilizers on shoulder straps like the one's available in rucksacks. A perfect bag for a leisure or an official trip of 2-3 days.",B0B2LNJPVM,76.2 x 50.8 x 127 cm; 500 Grams,"TRAVEL POINT, TRAVEL POINT"
HEGHNAR Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,B0BB248K7V, 20.32 x 35.56 x 50.8 cm,"BLK Footwear Industries, BLK Footwear Industries"
"COMFY&STURDY - Comfortable airflow back design with thick but soft multi-panel ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on; Color Name: Navyblue; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch", B08FXMXGCH,22.23 x 33.02 x 48.26 cm; 490 Grams, Lunar's
"Size:18*13*9 inch(L*W*H), Capacity: 36.5L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Style Name: Daypack Backpacks; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch; Special Features: Water Bottle Umbrella Pouch; Age Range Description: Adult; Style Name: Daypack Backpacks",B07XVK6BWC,? 45.72 x 33.02 x 22.86 cm; 440 Grams," ? Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
"Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Compact Laptop Backpack is your perfect companion. It carries a full-sized 16"" laptop and comes with spacious compartments for your chargers, accessories, and other electronics. Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B5N9TY9C,14.5 x 30.3 x 43 cm; 398 Grams,Acefour Accessories Pvt. Ltd.
Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of,B07CG8BFPP,32.5 x 18 x 50 Centimeters,Samsonite
"WATER RESISTANT - Stylish and durable backpack for school /college, daily casual use and travel.Capacity : 45 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use.", B08WDQN5PV, 50.1 x 37.2 x 6.3 cm; 450 Grams,Da MAMMOTH
Wildcraft WC 6 98 Backpack Black (11925 Black),? B07NZC2J5N,50.5 x 37.1 x 7.4 cm; 530 Grams,Wildcraft
"Fabric : Polyester, Stylish And Durable Backpack For Office School /College And Travel. Easily",B09J6F71QF,20 x 33 x 46 cm; 768 Grams,
"WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable backpack for school /college, daily casual use and travel. . Size: 19 inch X 13 inch X 8.75 inch. Capacity : 35 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects",B08BP3N8TV,22.23 x 33.02 x 48.26 cm; 490 Grams,Lunar's
"Genie Lush Backpack for Women - 3 compartments, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags , Easy to Carry Backpacks for Women. Latest collection (Black)",B07QHLBBPM,48 x 33 x 23 cm; 665 Grams,"? Safari, Safari"
PREMIUM MATERIAL: Made from high density water repellent polyester material. Highly smooth zippers & puller.;Compartment Description: Up To 16 Inches; Age Range Description: Adult; Style Name: Daypack Backpacks; Warranty Description: 1 Year From Date Of Purchase; Pattern Name: Solid,B09B5DMGM1,17 x 32 x 47 cm; 1.2 Kilograms," ? Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990"
"Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.",B09B26MB5M, 12.6 x 18.11 x 6.3 cm; 350 Grams,"? Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"100% Polyester, High Quality, Durable and Water Resistant Fabric",B09B27WXSF, 18.5 x 12.99 x 7.87 cm; 350 Grams,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"A unique casual backpack, polyster material",B07D3H21Z5,32 x 29.5 x 47 cm; 360 Grams,"Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"Safari Flash is a 26 Litres, 2 compartment backpack perfect for daily usage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips. This bag is also covered under 1 year International warranty.",? B09B29F66W,32 x 46 x 16 cm; 350 Grams,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Laptop Compatibility: No, Strap Type: Adjustable; Outer Material: Polyester, Color: Black",B07CGSJNML,33 x 22 x 51 Centimeters,"SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700"
"Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.",B09B277CR5, 32 x 46 x 16 cm; 350 Grams,"? Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Safari Flash is a 26 Litres, 2 compartment backpack perfect for daily usage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips. This bag is also covered under 1 year International warranty.",B09B26VHXV, ? 32 x 46 x 16 cm; 350 Grams,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Safari Sneak is a 26 Litres, 2 compartment USB backpack perfect for daily usage. Built in USB charging port outside and built in charging cable inside, perfect for working professionals and college goers. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.", B09B264BV6,46 x 32 x 16 cm; 350 Grams," Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"100% Polyester, High Quality, Durable and Water Resistant Fabric",?B09B27GXM1,47 x 33 x 20 Centimeters,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Crew is yet another trendy offering from Safari's overnighter laptop backpack ranges. With a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure. Made out of water-resistant fabric & front panel design, it serves a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop compatibility compartment and an additional tablet section, Crew has a total capacity of 40 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add one of Safari's exclusive Overnighter backpacks to your travel collection, whether it be for a short business trip or a weekend getaway!",B097JK3X9D,53 x 25 x 32 cm; 950 Gram,"Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.",?B09B263JKS,32 x 46 x 16 Centimeters,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Safari Sheild is a 26 Litres, 2 compartment backpack perfect for daily usage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.", B09B26T7KQ,32 x 46 x 16 cm; 350 Grams,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Safari Sheild is a 26 Litres, 2 compartment backpack perfect for daily usage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",B09B28M2RN,32 x 46 x 16 cm; 350 Grams," Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Safari HiTech is a 35 Litres, 3 compartment backpack perfect for daily usage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",? B09B267161, ? 32.99 x 46.99 x 19.99 cm; 350 Grams,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"Laptop Compatibility: No, Strap Type: Adjustable,",B07CJCGBVC,32.5 x 18 x 50 Centimeters,Samsonite
"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",B08Z1HHHTD, 10.01 x 19.99 x 11.99 cm; 400 Grams, VIP Industries Ltd
"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",B09MFWNY2C, 38.1 x 73.66 x 111.76 cm; 1 Kilograms,Shaba bags
